ID,Domain,User Input,Bot Response,Context ID,Context,Intent
2896,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,2895,Is there a fee for early loan repayment?,ask_credit_score
1206,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,1205,Is there a fee for early loan repayment?,ask_credit_score
1818,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1817,How can I improve my credit score?,home_loan_documents
812,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,811,What is a mutual fund?,open_account
2868,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",2867,How can I improve my credit score?,home_loan_documents
514,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,513,Can I cancel my order?,ask_refund_policy
2773,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2772,Where is my package?,cancel_order
137,E-commerce,How do I change my delivery address?,You can change it from your account settings.,136,The product I received is damaged.,update_address
1427,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1426,The product I received is damaged.,update_address
2926,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,2925,Is there a fee for early loan repayment?,ask_credit_score
929,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",928,What documents are needed for a home loan?,stock_investment
954,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,953,Can I cancel my order?,ask_refund_policy
987,E-commerce,How do I change my delivery address?,You can change it from your account settings.,986,The product I received is damaged.,update_address
2116,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,2115,Is there a fee for early loan repayment?,ask_credit_score
1894,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1893,What is the current interest rate?,apply_loan
335,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",334,What is the refund policy?,ask_shipping_info
1695,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",1694,What is the refund policy?,ask_shipping_info
1874,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1873,What is the current interest rate?,apply_loan
2797,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2796,The product I received is damaged.,update_address
1338,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1337,How do I change my delivery address?,ask_payment_options
1861,E-commerce,I want to return my order.,"Sure, may I have your order number?",1860,Can I get a gift receipt?,initiate_return
177,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,176,What is a credit score?,ask_credit_score
754,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",753,What is the current interest rate?,apply_loan
2681,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2680,How do I get a bank statement?,ask_investment_info
1398,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1397,How do I change my delivery address?,ask_payment_options
2676,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2675,Do you offer international shipping?,report_damaged_item
780,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",779,I forgot my account password.,request_gift_receipt
1066,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,1065,Do you offer international shipping?,report_damaged_item
1327,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1326,The product I received is damaged.,update_address
303,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,302,How do I open a savings account?,ask_interest_rate
2441,E-commerce,I want to return my order.,"Sure, may I have your order number?",2440,Can I get a gift receipt?,initiate_return
527,E-commerce,How do I change my delivery address?,You can change it from your account settings.,526,The product I received is damaged.,update_address
422,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,421,What is a mutual fund?,open_account
2991,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2990,How do I get a bank statement?,ask_investment_info
1194,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,1193,Can I cancel my order?,ask_refund_policy
795,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",794,What is the refund policy?,ask_shipping_info
1352,E-commerce,Where is my package?,Let me check the tracking information for you.,1351,I want to return my order.,track_order
2740,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",2739,I forgot my account password.,request_gift_receipt
1192,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,1191,What is a mutual fund?,open_account
423,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",422,Where is my package?,cancel_order
846,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,845,Is there a fee for early loan repayment?,ask_credit_score
536,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,535,Is there a fee for early loan repayment?,ask_credit_score
1490,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1489,I forgot my account password.,request_gift_receipt
1348,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1347,How do I change my delivery address?,ask_payment_options
1505,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",1504,What is the refund policy?,ask_shipping_info
1712,E-commerce,Where is my package?,Let me check the tracking information for you.,1711,I want to return my order.,track_order
2149,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2148,What documents are needed for a home loan?,stock_investment
2675,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2674,Can I apply for a personal loan?,loan_prepayment_fee
2266,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2265,Do you offer international shipping?,report_damaged_item
1268,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1267,How do I change my delivery address?,ask_payment_options
942,E-commerce,Where is my package?,Let me check the tracking information for you.,941,I want to return my order.,track_order
2297,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2296,The product I received is damaged.,update_address
1853,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,1852,How do I open a savings account?,ask_interest_rate
2493,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2492,How do I open a savings account?,ask_interest_rate
2320,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",2319,I forgot my account password.,request_gift_receipt
170,Finance,How do I get a bank statement?,You can download it from your online banking portal.,169,Can I invest in stocks through your bank?,get_bank_statement
2986,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,2985,Is there a fee for early loan repayment?,ask_credit_score
2906,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,2905,Is there a fee for early loan repayment?,ask_credit_score
2405,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2404,Can I apply for a personal loan?,loan_prepayment_fee
736,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,735,Is there a fee for early loan repayment?,ask_credit_score
415,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",414,Can I apply for a personal loan?,loan_prepayment_fee
2373,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2372,How do I open a savings account?,ask_interest_rate
1656,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,1655,Do you offer international shipping?,report_damaged_item
2438,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2437,How do I change my delivery address?,ask_payment_options
2640,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",2639,I forgot my account password.,request_gift_receipt
2194,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",2193,What is the current interest rate?,apply_loan
2683,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2682,Where is my package?,cancel_order
1450,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1449,I forgot my account password.,request_gift_receipt
1044,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1043,What is the current interest rate?,apply_loan
1570,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1569,I forgot my account password.,request_gift_receipt
1628,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1627,How can I improve my credit score?,home_loan_documents
2327,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2326,What is a credit score?,ask_credit_score
836,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,835,Do you offer international shipping?,report_damaged_item
268,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",267,How do I change my delivery address?,ask_payment_options
726,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,725,Do you offer international shipping?,report_damaged_item
1890,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1889,I forgot my account password.,request_gift_receipt
458,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",457,How can I improve my credit score?,home_loan_documents
551,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,550,How do I get a bank statement?,ask_investment_info
1774,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,1773,Can I cancel my order?,ask_refund_policy
1591,E-commerce,I want to return my order.,"Sure, may I have your order number?",1590,Can I get a gift receipt?,initiate_return
154,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",153,What is the current interest rate?,apply_loan
2752,E-commerce,Where is my package?,Let me check the tracking information for you.,2751,I want to return my order.,track_order
1647,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1646,The product I received is damaged.,update_address
2807,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2806,The product I received is damaged.,update_address
2967,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2966,What is a credit score?,ask_credit_score
804,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,803,Can I cancel my order?,ask_refund_policy
711,E-commerce,I want to return my order.,"Sure, may I have your order number?",710,Can I get a gift receipt?,initiate_return
332,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,331,What is a mutual fund?,open_account
2108,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2107,How do I change my delivery address?,ask_payment_options
1670,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1669,I forgot my account password.,request_gift_receipt
2400,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",2399,I forgot my account password.,request_gift_receipt
419,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,418,What payment methods do you accept?,reset_password
2112,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,2111,What is a mutual fund?,open_account
1929,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,1928,What payment methods do you accept?,reset_password
962,E-commerce,Where is my package?,Let me check the tracking information for you.,961,I want to return my order.,track_order
2513,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2512,Where is my package?,cancel_order
1003,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",1002,Where is my package?,cancel_order
2040,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",2039,I forgot my account password.,request_gift_receipt
1919,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",1918,What documents are needed for a home loan?,stock_investment
300,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",299,I forgot my account password.,request_gift_receipt
337,E-commerce,How do I change my delivery address?,You can change it from your account settings.,336,The product I received is damaged.,update_address
1790,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1789,Can I invest in stocks through your bank?,get_bank_statement
196,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,195,Is there a fee for early loan repayment?,ask_credit_score
1650,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1649,Can I invest in stocks through your bank?,get_bank_statement
740,Finance,How do I get a bank statement?,You can download it from your online banking portal.,739,Can I invest in stocks through your bank?,get_bank_statement
2588,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2587,How do I change my delivery address?,ask_payment_options
220,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",219,I forgot my account password.,request_gift_receipt
380,Finance,How do I get a bank statement?,You can download it from your online banking portal.,379,Can I invest in stocks through your bank?,get_bank_statement
2555,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2554,Can I apply for a personal loan?,loan_prepayment_fee
2803,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2802,Where is my package?,cancel_order
2451,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2450,How do I get a bank statement?,ask_investment_info
1448,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1447,How can I improve my credit score?,home_loan_documents
2181,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2180,How do I get a bank statement?,ask_investment_info
4,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",3,What is the current interest rate?,apply_loan
58,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",57,How do I change my delivery address?,ask_payment_options
2853,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2852,How do I open a savings account?,ask_interest_rate
233,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",232,Where is my package?,cancel_order
2355,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2354,Can I apply for a personal loan?,loan_prepayment_fee
2856,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2855,Do you offer international shipping?,report_damaged_item
